"Prefer","ThoughtAbout","CareAbout","Gender","Age","Household.Income","Education","Location"
"Singular","Yes","Not much","Male","45-60","$25,000 - $49,999","High school degree","Pacific"
"Singular","Yes","Not much","Male","> 60","$150,000+","Graduate degree","Pacific"
"Singular","Yes","A lot","Male","30-44","$100,000 - $149,999","Some college or Associate degree","East North Central"
"Singular","No","Some","Male","45-60","","Some college or Associate degree","South Atlantic"
"Plural","Yes","Not much","Female","30-44","$50,000 - $99,999","Graduate degree","Mountain"
"Singular","Yes","A lot","Male","45-60","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Some","Male","45-60","$150,000+","Graduate degree","East North Central"
"Plural","Yes","Not much","Male","45-60","","Graduate degree","East North Central"
"Singular","Yes","Some","","","","",""
"Singular","Yes","Some","Male","45-60","","Graduate degree","Pacific"
"Plural","No","Not much","Female","45-60","$0 - $24,999","Less than high school degree","East North Central"
"Singular","No","Not at all","Male","30-44","$50,000 - $99,999","Graduate degree","Mountain"
"Singular","Yes","Not much","Female","18-29","$100,000 - $149,999","Bachelor degree","Middle Atlantic"
"Singular","No","Not at all","Male","> 60","$0 - $24,999","Some college or Associate degree","Pacific"
"Singular","Yes","Some","Female","18-29","","Some college or Associate degree","West South Central"
"Singular","No","Some","Female","> 60","","","Pacific"
"Singular","Yes","Some","Male","18-29","","Graduate degree","East North Central"
"Singular","No","Not much","Female","30-44","$100,000 - $149,999","Bachelor degree","West North Central"
"Singular","Yes","Not at all","Male","45-60","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
"Singular","No","Not much","Female","30-44","$25,000 - $49,999","Less than high school degree","West North Central"
"Singular","No","Not much","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"Singular","Yes","Some","Male","45-60","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"Singular","No","Not much","Female","30-44","$0 - $24,999","Some college or Associate degree","South Atlantic"
