"crime","date","neighborhood"
"LARCENY-FROM VEHICLE","03/04/2009","Sylvan Hills"
"LARCENY-NON VEHICLE","12/14/2016","Virginia Highland"
"AGG ASSAULT","06/25/2012","Westview"
"LARCENY-FROM VEHICLE","02/06/2009","Venetian Hills"
"AUTO THEFT","07/29/2010","Glenrose Heights"
"LARCENY-FROM VEHICLE","05/09/2015","Southwest"
"LARCENY-FROM VEHICLE","09/11/2014","South Tuxedo Park"
"AUTO THEFT","03/26/2014","Oakland City"
"ROBBERY-PEDESTRIAN","07/10/2015","Hunter Hills"
"LARCENY-NON VEHICLE","12/01/2013","Midtown"
"LARCENY-FROM VEHICLE","07/13/2011","Castleberry Hill"
"ROBBERY-PEDESTRIAN","03/16/2009","Summerhill"
"LARCENY-NON VEHICLE","05/19/2012","Paces"
"AGG ASSAULT","09/20/2013","The Villages at Carver"
"LARCENY-NON VEHICLE","04/30/2010","Underwood Hills"
"LARCENY-FROM VEHICLE","03/31/2010","Midtown"
"AUTO THEFT","05/02/2009","Midtown"
"LARCENY-NON VEHICLE","11/18/2011","Greenbriar"
"LARCENY-FROM VEHICLE","10/30/2010","English Avenue"
"LARCENY-FROM VEHICLE","06/23/2011","Old Fourth Ward"
"BURGLARY-RESIDENCE","03/25/2015","Edgewood"
"AUTO THEFT","08/28/2009","East Atlanta"
"LARCENY-NON VEHICLE","01/30/2017","Downtown"
"LARCENY-FROM VEHICLE","08/29/2010","North Buckhead"
"LARCENY-FROM VEHICLE","01/05/2017","Inman Park"
"AUTO THEFT","07/22/2014","Lindbergh/Morosgo"
"LARCENY-FROM VEHICLE","09/18/2009","Midtown"
"LARCENY-FROM VEHICLE","07/13/2009","Paces"
"LARCENY-FROM VEHICLE","10/17/2014","West End"
"BURGLARY-RESIDENCE","05/11/2014","Scotts Crossing"
"BURGLARY-RESIDENCE","12/17/2014","Betmar LaVilla"
"LARCENY-NON VEHICLE","01/26/2010","Adams Park"
"LARCENY-NON VEHICLE","10/05/2011","Greenbriar"
"LARCENY-FROM VEHICLE","08/05/2012","Atlantic Station"
"BURGLARY-RESIDENCE","11/05/2014","Lakewood Heights"
"AGG ASSAULT","04/16/2009","Vine City"
"LARCENY-NON VEHICLE","02/02/2011","English Avenue"
"LARCENY-FROM VEHICLE","06/02/2011","Downtown"
"LARCENY-NON VEHICLE","12/04/2009","Downtown"
"LARCENY-NON VEHICLE","07/03/2016","Home Park"
"BURGLARY-NONRES","09/23/2009","Harland Terrace"
"LARCENY-FROM VEHICLE","03/19/2014","Home Park"
"LARCENY-NON VEHICLE","07/11/2014","Downtown"
"LARCENY-FROM VEHICLE","02/24/2010","Castleberry Hill"
"BURGLARY-RESIDENCE","09/20/2009","Inman Park"
"BURGLARY-RESIDENCE","04/14/2009","Pittsburgh"
"AGG ASSAULT","08/06/2016","Old Fourth Ward"
"LARCENY-NON VEHICLE","09/17/2011","Downtown"
"ROBBERY-PEDESTRIAN","10/07/2009","Venetian Hills"
"BURGLARY-NONRES","06/09/2011",""
"AUTO THEFT","07/19/2011","Grant Park"
"ROBBERY-COMMERCIAL","12/27/2016",""
"BURGLARY-RESIDENCE","09/28/2012","Polar Rock"
"LARCENY-FROM VEHICLE","10/25/2013","South Atlanta"
"LARCENY-FROM VEHICLE","10/05/2012","Morningside/Lenox Park"
"BURGLARY-RESIDENCE","01/18/2012","Carey Park"
"AUTO THEFT","01/05/2012","Center Hill"
"AUTO THEFT","11/15/2015","Mechanicsville"
"LARCENY-FROM VEHICLE","09/30/2011","Cascade Avenue/Road"
"LARCENY-FROM VEHICLE","12/02/2016","North Buckhead"
"LARCENY-NON VEHICLE","07/08/2011","Midtown"
"LARCENY-NON VEHICLE","10/04/2016","Leila Valley"
"ROBBERY-PEDESTRIAN","05/11/2009","Arlington Estates"
"BURGLARY-NONRES","06/10/2013","West End"
"AUTO THEFT","03/23/2010","Southwest"
"LARCENY-NON VEHICLE","10/23/2013","Lenox"
"LARCENY-NON VEHICLE","04/28/2014","Downtown"
"AUTO THEFT","03/30/2014","Downtown"
"LARCENY-FROM VEHICLE","10/11/2010",""
"LARCENY-FROM VEHICLE","01/11/2016","Custer/McDonough/Guice"
"BURGLARY-NONRES","01/09/2016","Greenbriar"
"BURGLARY-NONRES","01/14/2010","Loring Heights"
"BURGLARY-RESIDENCE","05/31/2011","Sylvan Hills"
"LARCENY-NON VEHICLE","06/01/2010","Grant Park"
"AGG ASSAULT","05/01/2016","Vine City"
"AUTO THEFT","12/20/2009","Mechanicsville"
"LARCENY-FROM VEHICLE","10/11/2010","Summerhill"
"LARCENY-FROM VEHICLE","08/01/2011","Venetian Hills"
"AGG ASSAULT","08/13/2016","Southwest"
"LARCENY-NON VEHICLE","06/04/2014","West Paces Ferry/Northside"
"LARCENY-NON VEHICLE","04/29/2011","Bankhead Courts"
"AGG ASSAULT","07/15/2010","Oakland City"
"ROBBERY-COMMERCIAL","10/21/2012","East Lake"
"LARCENY-NON VEHICLE","06/27/2013","Westview"
"BURGLARY-NONRES","03/29/2009","Pittsburgh"
"AGG ASSAULT","08/14/2009","Grove Park"
"BURGLARY-RESIDENCE","10/08/2012","Joyland"
